total_labels,mean_bac,std_bac,n_replicates
250,0.774101343858908,0.08858444040894127,5
500,0.8953879105502164,0.020396963489939034,5
750,0.9100541899883832,0.008526807484441973,5
1000,0.9290820704403844,0.015919670259809057,5
1250,0.9440839845812652,0.008651515863903534,5
1500,0.9522560460449888,0.008611770310043669,5
1750,0.9526629659942971,0.0034696884796465216,5
2000,0.9613907883620234,0.006114520008093067,5
2250,0.9658999102333932,0.005625182626082126,5
2500,0.9664018771781603,0.00297286312554709,5
2750,0.9732716627943816,0.006596641171922357,5
3000,0.9738455750343226,0.0030168744492231796,5
3250,0.973286513887422,0.005659191696770977,5
3500,0.9755574110254515,0.004288214457647942,5
