run_id,optimizer_id,model_id,tau,constraint_id,surrogate_success_count,oracle_confirmed_count,false_success_count,no_crossing_count,validity_failure_count,mean_distance,median_distance,mean_active,mean_l1
trust_region_tau0.75_labelblind,trust_region_hybrid_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,200,200,0,0,0,0.57705,0.49999999999999994,6.015,0.8767740137528659
ch5_trust_region_no_gradient_tau0.75,trust_region_no_gradient_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,200,200,0,0,0,0.5856999999999999,0.49999999999999994,2.425,0.6579223691824748
coordinate_axis_tau0.75_labelblind,coordinate_axis_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,200,200,0,0,0,0.5857,0.49999999999999994,1.0,0.5857
trust_region_tau0.90_labelblind,trust_region_hybrid_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,200,200,0,0,0,0.6255,0.49999999999999994,5.955,0.9353611426593748
ch5_trust_region_no_gradient_tau0.90,trust_region_no_gradient_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,200,200,0,0,0,0.6407499999999999,0.49999999999999994,2.38,0.7197440173521352
coordinate_axis_tau0.90_labelblind,coordinate_axis_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,200,200,0,0,0,0.64075,0.49999999999999994,1.0,0.64075
ch5_sphere_shrink_256_matched_tau0.90,random_sphere_coordinate_shrink_256_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,192,195,0,8,0,0.5015822979171959,0.4683291770372199,5.575,0.9769950626274696
ch5_sphere_expanding_256_matched_tau0.90,random_sphere_expanding_256_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,192,195,0,8,0,0.81875,0.9999999999999996,12.975,2.364808221941251
ch5_sphere_shrink_128_matched_tau0.90,random_sphere_coordinate_shrink_128_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,179,185,0,21,0,0.5653621331974071,0.5,6.145,1.200630170656057
ch5_sphere_expanding_128_matched_tau0.90,random_sphere_expanding_128_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,179,185,0,21,0,0.84525,0.9999999999999998,12.995,2.457402378228656
ch5_sphere_shrink_64_matched_tau0.90,random_sphere_coordinate_shrink_64_matched_seed_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,159,173,0,41,0,0.5257070653690233,0.4999999999999999,6.65,1.1582006402377574
ch5_sphere_expanding_64_matched_tau0.90,random_sphere_expanding_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,159,173,0,41,0,0.8085,0.9999999999999997,12.99,2.360323113441778
ch5d20_multifixed_penalty_lam0_10_tau0.75,multifixed_penalty_direction_frontier_lam0_10_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,162,167,0,38,0,0.33811067111232646,0.35375976562499933,11.945,0.908968107869402
ch5d20_multifixed_penalty_lam0_50_tau0.75,multifixed_penalty_direction_frontier_lam0_50_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,162,167,0,38,0,0.33973236958960384,0.35375976562499933,11.935,0.9144110593789613
ch5d20_multifixed_penalty_lam0_30_tau0.75,multifixed_penalty_direction_frontier_lam0_30_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,163,167,0,37,0,0.3414351761201149,0.35375976562499933,11.94,0.9190240986793462
ch5d20_multifixed_penalty_lam0_10_tau0.90,multifixed_penalty_direction_frontier_lam0_10_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,160,167,0,40,0,0.36501842085985153,0.3898925781249997,12.055,0.9756113231076197
ch5d20_multifixed_penalty_lam0_20_tau0.75,multifixed_penalty_direction_frontier_lam0_20_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,163,166,1,37,0,0.3399317394142273,0.35375976562499933,11.945,0.9128302153365153
task34_adaptive_penalty_lam0_10_tau0.75,adaptive_multistep_penalty_lam0_10_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,158,165,0,42,0,0.32996084255121766,0.347259521484375,12.12,0.8875682711097497
task34_adaptive_penalty_lam0_05_tau0.75,adaptive_multistep_penalty_lam0_05_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,158,165,0,42,0,0.3314223022251045,0.347259521484375,12.115,0.8914870532234025
task34_adaptive_gradient_tau0.75,adaptive_multistep_gradient_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,158,165,0,42,0,0.33203114699883657,0.347259521484375,12.12,0.8931535716398844
task34_adaptive_penalty_lam0_10_tau0.90,adaptive_multistep_penalty_lam0_10_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,157,165,0,43,0,0.35539947705188746,0.3749999999999999,12.225,0.9502501173011431
task34_adaptive_gradient_tau0.90,adaptive_multistep_gradient_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,157,165,0,43,0,0.3574944607482638,0.3834228515625001,12.225,0.9559186186518318
task34_adaptive_penalty_lam0_30_tau0.75,adaptive_multistep_penalty_lam0_30_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,158,164,0,42,0,0.327994577671318,0.347259521484375,12.12,0.8835668778597666
task34_adaptive_penalty_lam0_20_tau0.75,adaptive_multistep_penalty_lam0_20_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,158,164,0,42,0,0.3290406138994084,0.347259521484375,12.125,0.8852992730418968
ch5d20_multifixed_gradient_tau0.75,receding_gradient_multiscale_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,159,164,0,41,0,0.45042958611853506,0.4999999999999998,12.005,1.209238759566253
ch5d20_multifixed_gradient_tau0.90,receding_gradient_multiscale_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,157,164,0,43,0,0.48054454263319996,0.4999999999999998,12.115,1.2832224536107188
ch5_sphere_shrink_32_matched_tau0.90,random_sphere_coordinate_shrink_32_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,148,163,0,52,0,0.5718447552342958,0.4999999999999999,6.915,1.3004662719098985
ch5_sphere_expanding_32_matched_tau0.90,random_sphere_expanding_32_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,148,163,0,52,0,0.92,0.9999999999999998,12.98,2.6856191059387955
task34_adaptive_penalty_lam0_50_tau0.75,adaptive_multistep_penalty_lam0_50_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,155,161,0,45,0,0.3215672141056211,0.347259521484375,12.11,0.8625214274269045
ch5d20_multifixed_penalty_lam0_10_tau0.60,multifixed_penalty_direction_frontier_lam0_10_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.6,,165,161,7,35,0,0.3204206196775107,0.33157846897908905,11.66,0.8651580664329741
ch5d20_multifixed_gradient_tau0.60,receding_gradient_multiscale_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.6,,162,158,7,38,0,0.41958199409160374,0.4999999999999998,11.83,1.1307956605621536
task34_adaptive_penalty_lam0_10_tau0.60,adaptive_multistep_penalty_lam0_10_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.6,,163,158,8,37,0,0.3129599982664114,0.3282045965521169,11.765,0.8453840555197101
task34_adaptive_gradient_tau0.60,adaptive_multistep_gradient_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.6,,162,157,8,38,0,0.31482128928947734,0.32821389271151635,11.765,0.8505098404077586
one_shot_gradient_bracket_v1_tau0.70_labelblind,one_shot_gradient_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.7,,144,151,0,49,7,0.3107819047619048,0.3095238095238094,11.94,0.8371832779865924
one_shot_gradient_bracket_v1_tau0.75_ch5,one_shot_gradient_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.75,,143,151,0,50,7,0.31643309523809526,0.32857142857142874,11.99,0.851155334787882
one_shot_gradient_bracket_v1_tau0.80_labelblind,one_shot_gradient_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.8,,143,151,0,50,7,0.32338547619047625,0.32857142857142874,12.045,0.8684203047149955
one_shot_gradient_bracket_v1_tau0.90_labelblind,one_shot_gradient_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.9,,140,151,0,53,7,0.34076166666666663,0.3476190476190477,12.09,0.9113544988569768
one_shot_gradient_bracket_v1_tau0.60_labelblind,one_shot_gradient_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.6,,148,146,7,45,7,0.30096233333333333,0.3095238095238094,11.695,0.8128510407834786
one_shot_gradient_bracket_v1_tau0.50_labelblind,one_shot_gradient_bracket_v1,row1_uncertainty_disagreement_B1000_T2500_best,0.5,,150,137,17,43,7,0.2903176428571429,0.2904761904761904,11.295,0.7861380437804354
