method,method_pretty,model_kind,tau_vol,tau_bin,n,strict_success,mean_pct_overlap_reduction,median_pct_overlap_reduction,frac_reduction_gt50,frac_reduction_gt90,mean_final_overlap_norm,median_final_overlap_norm,mean_distance,mean_verifier_calls,mean_active_coordinates,mean_wall_time_s_contended,mean_wall_time_s,wall_time_uncontended
mlp__v3__tauvol0,MLP-only (v3),v3,0.0,,50,12,59.66255750055815,61.51133893004388,0.64,0.3,0.0029647432824486016,0.0011859812322744406,0.16897432688158007,11.04,10.4,0.80744058572001,0.21841332914540545,True
mlp__v3__tauvol1e-06,"MLP-only (v3, tau_vol=1e-6)",v3,1e-06,,50,12,59.53588714739256,61.51133893004388,0.64,0.28,0.002973888729304541,0.0011859812322744406,0.16993866744916886,10.44,10.42,0.7477211189199988,0.7477211189199988,False
mlp__v3__tauvol1e-05,"MLP-only (v3, tau_vol=1e-5)",v3,1e-05,,50,11,55.88645672207142,61.40582077266426,0.62,0.24,0.003021705190472403,0.0014708001393979198,0.16281797042582183,6.92,9.86,0.5099864696999953,0.5099864696999953,False
mlp__multitask__tauvol0,MLP-only (multitask),multitask,0.0,,50,12,61.73948196342527,68.32087057747546,0.66,0.3,0.002746018704482949,0.000973118218065457,0.16943711715284734,10.14,10.68,0.7327326256399976,0.7327326256399976,False
mlp__multitask__taubin0.05,"MLP-only (multitask, tau_bin=0.05)",multitask,0.0,0.05,50,11,59.509447886676824,67.70177117032148,0.62,0.28,0.002758511456789243,0.0011072868595919073,0.16675550175365061,8.92,10.5,0.7074859812600038,0.7074859812600038,False
mlp__multitask__taubin0.1,"MLP-only (multitask, tau_bin=0.1)",multitask,0.0,0.1,50,11,57.381621795424095,66.83757315041527,0.62,0.26,0.002775033566560037,0.0010703911656283547,0.1608677340624854,7.4,9.8,0.5666832620800029,0.5666832620800029,False
mlp__multitask__taubin0.2,"MLP-only (multitask, tau_bin=0.2)",multitask,0.0,0.2,50,11,53.565722005777445,60.73599754936126,0.58,0.26,0.002835812970711743,0.0010949661852824864,0.1553100515017286,6.72,9.06,0.48218360833999213,0.48218360833999213,False
hybrid_lite__v3__tauvol0,Hybrid-lite (v3),v3,0.0,,50,50,100.0,100.0,1.0,1.0,0.0,0.0,0.1853191876038909,148.12,10.46,8.531727848340001,2.9874639608431606,True
hybrid_lite_reduced_calls__v3__tauvol0,Hybrid-lite reduced-calls (v3),v3,0.0,,50,35,92.23856179436362,100.0,0.96,0.74,0.0003416750414072174,0.0,0.2249052132293582,44.08,10.42,1.90851406902,1.90851406902,False
hybrid_lite__multitask__taubin0.1,"Hybrid-lite (multitask, tau_bin=0.1)",multitask,0.0,0.1,50,50,100.0,100.0,1.0,1.0,0.0,0.0,0.17611689491197466,141.6,9.92,8.171592019760004,8.171592019760004,False
finish_line__v3__tauvol0,Finish-line (v3),v3,0.0,,50,12,59.667702340442965,61.51133893004388,0.64,0.3,0.002964715704285991,0.0011859812322744406,0.16899563531391323,12.74,10.42,0.4998977543999979,0.4998977543999979,False
random_direct__none,Random dirs + direct,none,0.0,,50,40,95.77917317066405,100.0,1.0,0.82,0.0007739387028420295,0.0,0.17280003460124135,233.84,13.0,12.65824365318,12.65824365318,False
axis_direct__none,Coord-axis + direct,none,0.0,,50,23,78.31000295328111,96.27613789840737,0.82,0.54,0.0037345977002308356,0.0005583590257378743,0.06849603291600942,119.24,1.94,6.885330730620003,6.885330730620003,False
