active_stages,asm_stage_used,cycles_used,failure_reason,final_assemblable,final_overlap_norm,final_overlap_ok,final_reason,final_relaxed_ok,first_overlap_pct_reduction,overall_pct_overlap_reduction,overlap_method,overlap_stage_used,reintroduced_overlap_count,sample_id,start_assemblable,start_dominant_pair,start_magnitude_bin,start_overlap_norm,still_blocked_after_first_overlap,strict_category,success,verifier_calls
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_003921,False,bracket__splint,large,0.006188461492057921,True,splint_head_wall_candidate,True,664
3,1,4,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,2,1,t25h2_000565,False,bracket__main_pin,large,0.009548101642068495,True,pin_head_or_shaft_wall_candidate,True,788
1,0,2,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004654,False,main_pin__splint,large,0.03184774755714002,False,pin_splint_cross_overlap,True,140
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_000366,False,bracket__splint,moderate,0.004278954040421248,True,bracket_splint_other,True,647
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_001143,False,clean,tiny,3.2668085136749125e-05,True,other_overlap,True,656
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_000197,False,bracket__splint,large,0.005594196872605992,True,splint_head_wall_candidate,True,659
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_003292,False,bracket__main_pin,large,0.007050413928979483,True,pin_head_or_shaft_wall_candidate,True,764
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_002072,False,main_pin__splint,large,0.02524372517935806,True,pin_splint_cross_overlap,True,1123
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_002302,False,bracket__splint,small,0.0007869878078370359,True,bracket_splint_other,True,653
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_003352,False,clean,tiny,4.295520441825859e-05,True,other_overlap,True,653
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_003788,False,bracket__splint,moderate,0.0030374924544824375,True,splint_head_wall_candidate,True,768
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004089,False,bracket__main_pin,large,0.005359248724697623,True,pin_head_or_shaft_wall_candidate,True,650
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001961,False,main_pin__splint,large,0.023983167084381214,True,pin_splint_cross_overlap,True,668
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_002903,False,bracket__splint,small,0.0005641009297881883,True,bracket_splint_other,True,651
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_001711,False,clean,tiny,1.5719244720850494e-05,True,other_overlap,True,647
1,0,2,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004321,False,bracket__splint,moderate,0.0024155231324607044,False,splint_head_wall_candidate,True,235
3,1,4,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,2,1,t25h2_003972,False,bracket__main_pin,moderate,0.004685941036129995,True,pin_head_or_shaft_wall_candidate,True,768
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_002136,False,main_pin__splint,large,0.019212721237764525,True,pin_splint_cross_overlap,True,887
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001354,False,bracket__splint,small,0.00042609435954753185,True,bracket_splint_other,True,638
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_004196,False,clean,tiny,3.864909422820819e-05,True,other_overlap,True,651
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001884,False,bracket__splint,moderate,0.0018225212855140951,True,splint_head_wall_candidate,True,654
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001002,False,bracket__main_pin,moderate,0.004449436342543583,True,pin_head_or_shaft_wall_candidate,True,656
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004699,False,main_pin__splint,large,0.014574174455898266,True,pin_splint_cross_overlap,True,784
2,1,3,,True,0.0,True,assemb-inward_movement,True,99.99999999999999,99.99999999999999,hybrid_lite,1,0,t25h2_002363,False,bracket__splint,tiny,0.0001914744351513083,True,bracket_splint_other,True,653
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_002226,False,clean,tiny,3.8947693793571223e-05,True,other_overlap,True,644
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004785,False,bracket__splint,moderate,0.0017609383224890848,True,splint_head_wall_candidate,True,656
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_002564,False,bracket__main_pin,moderate,0.0038568622734260856,True,pin_head_or_shaft_wall_candidate,True,658
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001557,False,main_pin__splint,large,0.013047811086101296,True,pin_splint_cross_overlap,True,675
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_003798,False,bracket__splint,tiny,6.598729849760717e-05,True,bracket_splint_other,True,650
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001705,False,clean,tiny,9.443020230150431e-06,True,other_overlap,True,647
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004942,False,bracket__splint,moderate,0.0016097142343559794,True,splint_head_wall_candidate,True,764
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_000607,False,bracket__main_pin,large,0.035253796128652676,True,pin_head_or_shaft_wall_candidate,True,1017
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_002589,False,main_pin__splint,large,0.012008051802605418,True,pin_splint_cross_overlap,True,671
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001059,False,bracket__splint,tiny,6.583726854374188e-05,True,bracket_splint_other,True,654
3,1,4,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,2,1,t25h2_003359,False,clean,tiny,4.8786344647385335e-05,True,other_overlap,True,767
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_000317,False,bracket__splint,moderate,0.0015089609692598097,True,splint_head_wall_candidate,True,651
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_004328,False,bracket__main_pin,moderate,0.0046490526315681475,True,pin_head_or_shaft_wall_candidate,True,662
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_002972,False,main_pin__splint,large,0.008436499645493489,True,pin_splint_cross_overlap,True,672
1,0,2,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_000258,False,bracket__splint,small,0.0006750396038549414,False,bracket_splint_other,True,140
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_001039,False,clean,tiny,1.6275970066850343e-05,True,other_overlap,True,653
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_003450,False,bracket__splint,moderate,0.0013504855706496053,True,splint_head_wall_candidate,True,655
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_000693,False,bracket__main_pin,small,0.000930596417882308,True,pin_head_or_shaft_wall_candidate,True,650
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004698,False,main_pin__splint,large,0.0075904452952843746,True,pin_splint_cross_overlap,True,776
1,0,2,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_000581,False,bracket__splint,large,0.013881342173973864,False,bracket_splint_other,True,117
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_003862,False,clean,tiny,3.4383405941509166e-05,True,other_overlap,True,654
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_003604,False,bracket__splint,small,0.0008700633042287958,True,splint_head_wall_candidate,True,655
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_003576,False,bracket__main_pin,moderate,0.0038822684264084332,True,pin_head_or_shaft_wall_candidate,True,663
2,1,3,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_004754,False,main_pin__splint,large,0.006090658650965418,True,pin_splint_cross_overlap,True,657
1,0,2,,True,0.0,True,assemb-inward_movement,True,100.0,100.0,hybrid_lite,1,0,t25h2_001044,False,bracket__splint,moderate,0.001217630121838477,False,bracket_splint_other,True,106
2,1,3,,True,0.0,True,assemb-splint_clearance,True,100.0,100.0,hybrid_lite,1,0,t25h2_000067,False,clean,tiny,3.374496827429761e-05,True,other_overlap,True,657
